fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
36.L1.3060.USC3641D,2.0,12.0,16,,37,17.0,0.0%,93.8%,12,10.0,,,13,13
36.L1.3060.USC3642,127.0,147.0,6,,103,95.0,0.0%,0.0%,72,93.0,,,67,56
36.L1.3060.USC3645,16.0,151.0,0,,80,56.0,,,48,56.0,,,54,41
36.L1.3060.USC3645D,0.0,11.0,0,,18,4.0,,,3,4.0,,,4,3
36.L1.3060.USC3646,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.3060.USC3647,0.0,8.0,0,,12,3.0,,,2,3.0,,,3,2
36.L1.3060.USC3647D,159.0,63.0,328,,128,91.0,39.0%,27.8%,0,183.0,,,0,29
36.L1.3060.USC3648,0.0,14.0,0,,22,5.0,,,4,5.0,,,5,4
36.L1.3060.USC3649,128.0,130.0,0,,184,97.0,,,65,86.0,,,58,48
36.L1.3060.USC3649D,18.0,228.0,85,97,228,82.0,0.0%,96.5%,114,110.0,82.5%,86.3%,128,115
36.L1.3060.USC3650,0.0,16.0,0,16,8,5.0,,,5,5.0,31.2%,33.3%,6,4
36.L1.3060.USC3651,3.0,97.0,36,,225,217.0,0.0%,0.0%,48,45.0,,,54,49
36.L1.3060.USC3651D,82.0,32.0,4,155,48,38.0,0.0%,0.0%,28,39.0,18.1%,25.4%,22,20
36.L1.3060.USC3652,0.0,0.0,72,,0,0.0,0.0%,0.0%,36,24.0,,,40,45
36.L1.6060.IP6001,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.6060.IP6002,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.6060.IP6003,40.0,0.0,59,,223,13.0,0.0%,22.6%,38,33.0,,,37,42
36.L1.6060.IP6007,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
36.L1.8080.IP8001,0.0,22.0,0,,11,7.0,,,7,7.0,,,8,6
36.L1.8080.IP8002,0.0,7.0,0,33,4,2.0,,,33,2.0,100.0%,7.1%,21,36
36.L1.8080.IP8003,0.0,0.0,0,53,0,0.0,,,53,0.0,100.0%,0.0%,34,58
38.L1.3060.ICC3600,3062.0,1499.0,2395,4157,2400,3642.0,99.8%,47.9%,2260,2319.0,54.4%,55.8%,2148,2231
38.L1.3060.ICC3600D,21.0,40.0,35,19,126,180.0,0.0%,0.0%,34,32.0,21.1%,31.6%,36,35
38.L1.3060.ICC3600V,583.0,280.0,533,846,510,613.0,95.7%,84.9%,467,465.0,55.2%,55.0%,449,471
38.L1.3060.ICC3601,5576.0,3499.0,683,1610,3911,4186.0,0.0%,0.0%,2506,3253.0,44.3%,0.0%,2158,1967
38.L1.3060.ICC3601D,0.0,53.0,152,,53,18.0,34.9%,11.6%,92,68.0,,,102,109
38.L1.3060.ICC3601V,469.0,294.0,136,193,394,431.0,0.0%,0.0%,250,300.0,70.5%,44.7%,225,215
38.L1.3060.ICC3602,6292.0,3514.0,813,3324,4128,4074.0,0.0%,0.0%,2719,3540.0,81.8%,93.5%,2306,2131
38.L1.3060.ICC3602D,54.0,48.0,110,86,176,261.0,40.0%,0.0%,86,71.0,100.0%,82.2%,54,86
38.L1.3060.ICC3602V,1534.0,726.0,72,342,1016,1074.0,0.0%,0.0%,561,777.0,36.0%,0.0%,447,406
38.L1.3060.ICC3603,592.0,3322.0,1104,10,2400,2607.0,0.0%,0.0%,10,1673.0,100.0%,0.0%,5,8
38.L1.3060.ICC3603D,163.0,52.0,18,16,200,421.0,0.0%,0.0%,57,78.0,0.0%,0.0%,44,43
38.L1.3060.ICC3604,880.0,1292.0,1160,113,1569,1822.0,64.7%,43.0%,113,1111.0,100.0%,0.0%,73,113
38.L1.3060.ICC3605,1320.0,1310.0,1839,407,1446,1535.0,78.6%,83.5%,407,1490.0,100.0%,0.0%,265,1221
38.L1.3060.ICC3605D,128.0,28.0,25,36,375,52.0,0.0%,0.0%,46,60.0,72.2%,32.4%,36,37
38.L1.3060.ICC3606,375.0,651.0,507,507,619,643.0,77.9%,73.1%,524,511.0,96.6%,99.2%,544,531
38.L1.3060.ICC3607,3121.0,5985.0,2224,939,2108,4349.0,94.8%,4.4%,3532,3777.0,0.0%,0.0%,3630,3319
38.L1.3060.ICC3607D,80.0,4.0,105,8,155,242.0,52.4%,0.0%,70,63.0,0.0%,0.0%,67,76
38.L1.3060.ICC3608,3346.0,387.0,710,408,1989,2690.0,0.0%,0.0%,408,1481.0,100.0%,0.0%,307,1398
38.L1.3060.KAI3600,15205.0,21152.0,14398,12743,16919,15088.0,82.5%,95.2%,16586,16918.0,69.8%,67.2%,16843,16277
38.L1.3060.KAI3600D,592.0,35.0,24,115,283,212.0,0.0%,0.0%,141,217.0,77.4%,11.3%,85,90
38.L1.3060.KAI3600V,2700.0,2148.0,1581,1010,2045,1884.0,70.7%,80.9%,1975,2143.0,4.5%,0.0%,1891,1854
38.L1.3060.KAI3601,7578.0,11275.0,9791,19573,8352,7019.0,85.3%,71.7%,9794,9548.0,50.0%,48.8%,10089,9941
38.L1.3060.KAI3601AD,47.0,41.0,167,296,58,31.0,34.7%,18.4%,105,85.0,35.5%,28.7%,111,120
38.L1.3060.KAI3601AV,666.0,1002.0,619,1568,719,586.0,83.8%,94.6%,743,762.0,47.4%,48.6%,758,726
